episode,reward
0,2.035
100,3.5645
200,1.901
300,1.6405
400,2.9295
500,2.0615
600,2.26
700,3.24
800,0.117
900,2.4805
1000,2.006
1100,2.034
1200,3.9015
1300,2.173
1400,3.655
1500,3.0675
1600,-0.139
1700,3.6325
1800,-1.711
1900,4.1625
2000,2.3795
2100,4.727
2200,2.221
2300,3.9155
2400,1.944
2500,3.784
2600,3.1
2700,3.1055
2800,-0.125
2900,3.254
3000,1.232
3100,3.9735
3200,1.3185
3300,2.293
3400,1.2385
3500,-0.939
3600,4.1555
3700,0.266
3800,2.5995
3900,1.0025
4000,2.4295
4100,3.181
4200,1.1005
4300,1.4275
4400,2.6305
4500,1.3205
4600,1.071
4700,1.128
4800,0.4765
4900,3.193
5000,3.113
5100,2.773
5200,1.922
5300,3.8705
5400,0.7795
5500,4.881
5600,2.7455
5700,1.5615
5800,3.6465
5900,3.172
6000,5.2765
6100,3.2325
6200,2.5085
6300,4.1755
6400,1.571
6500,3.829
6600,2.805
6700,4.1215
6800,2.2545
6900,2.6945
7000,3.2945
7100,3.0345
7200,3.3655
7300,3.723
7400,4.4335
7500,3.084
7600,4.3055
7700,1.658
7800,3.5815
7900,4.692
8000,4.952
8100,2.127
8200,4.872
8300,4.1145
8400,3.568
8500,3.855
8600,4.876
8700,2.7775
8800,2.3235
8900,3.0405
9000,1.744
9100,4.0325
9200,2.552
9300,3.571
9400,3.3285
9500,2.5755
9600,4.227
9700,4.5315
9800,3.6
9900,0.3685
10000,3.1425
10100,2.88
10200,2.079
10300,5.254
10400,3.419
10500,4.8125
10600,1.9425
10700,6.023
10800,2.023
10900,3.1605
11000,5.1015
11100,1.7735
11200,2.2475
11300,6.4415
11400,3.1955
11500,4.3435
11600,3.9995
11700,4.797
11800,6.613
11900,5.0785
12000,5.1665
12100,4.996
12200,2.461
12300,4.6725
12400,2.9625
12500,6.622
12600,1.369
12700,2.108
12800,2.964
12900,1.6175
13000,3.5405
13100,3.0995
13200,5.2865
13300,3.08
13400,4.158
13500,4.1985
13600,1.351
13700,4.984
13800,2.021
13900,3.3605
14000,5.5715
14100,2.534
14200,3.5105
14300,4.017
14400,3.2045
14500,5.438
14600,4.41
14700,4.9545
14800,3.0005
14900,3.732
15000,4.4755
15100,3.885
15200,5.157
15300,4.189
15400,3.637
15500,4.7135
15600,3.949
15700,4.1255
15800,2.9975
15900,4.7575
16000,3.8275
16100,5.9765
16200,3.921
16300,4.427
16400,5.2245
16500,1.9185
16600,5.2705
16700,5.229
16800,4.226
16900,2.7675
17000,4.1755
17100,4.3795
17200,3.085
17300,3.638
17400,3.8105
17500,4.075
17600,4.439
17700,5.4165
17800,3.377
17900,5.2065
18000,4.3585
18100,3.508
18200,3.267
18300,5.2115
18400,4.336
18500,4.62
18600,3.431
18700,7.04
18800,3.751
18900,5.113
19000,6.7335
19100,5.3515
19200,3.8315
19300,5.122
19400,4.8035
19500,6.3445
19600,3.6945
19700,5.0565
19800,2.5235
19900,4.074
20000,4.4815
20100,3.233
20200,5.0505
20300,3.076
20400,5.146
20500,4.974
20600,5.158
20700,7.3435
20800,4.235
20900,2.5825
21000,5.322
21100,1.2395
21200,5.4835
21300,5.071
21400,3.899
21500,-0.4725
21600,3.635
21700,3.1365
21800,0.73
21900,5.661
22000,6.303
22100,1.7505
22200,4.798
22300,3.957
22400,5.465
22500,4.3055
22600,2.401
22700,3.693
22800,4.174
22900,6.1465
23000,5.4195
23100,3.9235
23200,3.1425
23300,5.0085
23400,3.3535
23500,3.3975
23600,3.3655
23700,5.437
23800,4.5975
23900,4.2435
24000,4.637
24100,3.9035
24200,2.0255
24300,2.917
24400,3.301
24500,3.7675
24600,2.215
24700,1.8915
24800,4.358
24900,5.7965
25000,3.396
25100,4.7505
25200,5.8345
25300,3.21
25400,4.997
25500,3.419
25600,4.494
25700,4.169
25800,4.6285
25900,3.1795
26000,4.088
26100,6.0255
26200,2.6605
26300,3.7795
26400,4.4695
26500,3.9495
26600,6.7275
26700,5.0945
26800,5.373
26900,2.8675
27000,5.3335
27100,6.9045
27200,2.7895
27300,5.2235
27400,4.5845
27500,5.493
27600,3.0795
27700,3.469
27800,4.0835
27900,5.625
28000,5.422
28100,3.116
28200,4.892
28300,4.423
28400,2.912
28500,5.9185
28600,3.2815
28700,7.7605
28800,6.188
28900,4.154
29000,5.155
29100,5.0905
29200,3.5755
29300,6.6295
29400,4.472
29500,6.1655
29600,5.4205
29700,5.045
29800,4.1965
29900,4.4425
30000,5.524
30100,6.8345
30200,7.3355
30300,4.273
30400,4.0315
30500,7.758
30600,4.4665
30700,3.9805
30800,2.824
30900,5.1355
31000,4.6505
31100,6.435
31200,6.2615
31300,4.399
31400,5.3
31500,6.066
31600,4.683
31700,4.4835
31800,4.7315
31900,4.7045
32000,7.18
32100,7.0785
32200,6.94
32300,4.984
32400,4.9805
32500,4.026
32600,5.498
32700,6.0945
32800,2.1135
32900,6.0445
33000,4.9695
33100,6.5575
33200,6.2725
33300,5.1465
33400,4.778
33500,6.2185
33600,5.077
33700,5.5705
33800,4.4255
33900,5.5005
34000,5.757
34100,5.4355
34200,5.8985
34300,3.255
34400,6.1185
34500,7.279
34600,5.471
34700,5.968
34800,4.411
34900,3.127
35000,6.2235
35100,6.608
35200,5.9155
35300,5.724
35400,5.9495
35500,6.735
35600,5.375
35700,6.334
35800,4.473
35900,3.9145
36000,6.142
36100,3.052
36200,6.9505
36300,6.313
36400,5.23
36500,6.333
36600,5.7815
36700,6.0615
36800,2.222
36900,5.77
37000,6.875
37100,6.0815
37200,3.2275
37300,5.676
37400,4.3725
37500,3.6495
37600,8.134
37700,5.2855
37800,5.6565
37900,2.664
38000,5.73
38100,3.275
38200,6.9495
38300,4.2005
38400,3.322
38500,9.161
38600,4.488
38700,4.666
38800,4.6515
38900,4.049
39000,4.876
39100,6.6775
39200,3.309
39300,6.332
39400,5.6295
39500,1.512
