episode,reward
0,2.035
100,3.5645
200,1.901
300,1.6405
400,2.9295
500,2.0615
600,2.26
700,3.24
800,0.117
900,2.4805
1000,1.534
1100,1.2375
1200,0.035
1300,2.8615
1400,4.014
1500,-0.329
1600,2.508
1700,3.495
1800,1.1925
1900,0.9105
2000,1.501
2100,3.6355
2200,0.4005
2300,0.7215
2400,3.3135
2500,3.301
2600,2.1965
2700,1.983
2800,0.175
2900,1.795
3000,0.774
3100,0.7885
3200,2.4795
3300,5.843
3400,3.3265
3500,3.181
3600,1.621
3700,1.7385
3800,3.7865
3900,1.2395
4000,5.781
4100,3.499
4200,0.9665
4300,2.57
4400,3.345
4500,4.869
4600,1.1275
4700,2.377
4800,2.9245
4900,3.0575
